category	identity	source	target	compact_policy
Item	Abomination	Abomination Card	憎恶卡片	english-on-hold
Item	Acorn	Acorn	橡子	english-on-hold
Item	Acorn Rotten	Acorn Rotten	腐烂的橡子	english-on-hold
Item	Acorn Rotten	Rotten Acorn	腐烂的橡子	english-on-hold
Item	Alien Big Blink	Cosmic Entity Card	宇宙实体卡片	english-on-hold
Item	Alien Biteroot	Chomproot Card	噬根卡片	english-on-hold
Item	Alien Cyclops	Voidspawn Card	虚空孳生体卡片	english-on-hold
Item	Alien Galaxia	Galaxian Brute Card	银河蛮兵卡片	english-on-hold
Item	Alien One Eye	Voidgazer Card	虚空凝视者卡片	english-on-hold
Item	Alien Pew Pew	Galaxian Blaster Card	银河爆破手卡片	english-on-hold
Item	Alien Plant	Chompbloom Card	噬花卡片	english-on-hold
Item	Alien Skye	Galaxian Skimmer Card	银河掠行者卡片	english-on-hold
Item	Alien Spike	Cinderspike Card	灰烬尖刺卡片	english-on-hold
Item	Alien Sporella	Chompcap Card	噬帽菌卡片	english-on-hold
Item	Alien Star	Little Star Card	小星星卡片	english-on-hold
Item	Alien Starry	Starry Card	星辉卡片	english-on-hold
Item	Alien Twinkle	Twinkle Card	闪烁卡片	english-on-hold
Item	Alien Wheel	Cinderwheel Card	灰烬轮卡片	english-on-hold
Item	Alien Wreck	Cindermaw Card	灰烬巨口卡片	english-on-hold
Item	Alligator Gaa	Alligator Gaa	鳄鱼雀鳝	english-on-hold
Item	Alligator Gaa	Alligator Gar	鳄鱼雀鳝	english-on-hold
Item	Amberstone	Amberstone	琥珀石	english-on-hold
Item	Amberstone Piece	Amberstone Piece	琥珀石碎片	english-on-hold
Item	Anchovy	Anchovy	凤尾鱼	english-on-hold
Item	Angel	Angel Card	天使卡片	english-on-hold
Item	Angel Mage	Seraphim Arbiter Card	六翼天使仲裁者卡片	english-on-hold
Item	Angelfish	Angelfish	神仙鱼	english-on-hold
Item	Angler Fish	Angler Fish	琵琶鱼	english-on-hold
Item	Antique Key	Antique Key	古董钥匙	english-on-hold
Item	Antique Teacup	Antique Teacup	古董茶杯	english-on-hold
Item	Apple	Apple	苹果	english-on-hold
Item	Archangel	Archangel Card	大天使卡片	english-on-hold
Item	Arkose	Arkose	长石砂岩	english-on-hold
Item	Arowana	Arowana	龙鱼	english-on-hold
Item	Artifact Box Advanced	Box of Mastery	精通宝箱	english-on-hold
Item	Artifact Box Base	Box of Origins	起源宝箱	english-on-hold
Item	Ash	Ash	灰烬	english-on-hold
Item	Azurite	Azurite	蓝铜矿	english-on-hold
Item	Azurite Piece	Azurite Piece	蓝铜矿碎片	english-on-hold
Item	Ball Robot Blue	Ward Robot Card	护卫机器人卡片	english-on-hold
Item	Ball Robot Red	Strike Robot Card	攻击机器人卡片	english-on-hold
Item	Banana	Banana	香蕉	english-on-hold
Item	Baobab	Baobab	猴面包树	english-on-hold
Item	Baobab Piece	Baobab Piece	猴面包树碎片	english-on-hold
Item	Barley	Barley	大麦	english-on-hold
Item	Basalt	Basalt	玄武岩	english-on-hold
Item	Basalt Fine	Basalt Fine	玄武岩砂	english-on-hold
Item	Basalt Fine	Basalt Sand	玄武岩砂	english-on-hold
Item	Bat	Bat Card	蝙蝠卡片	english-on-hold
Item	Bat Lord	Night Baron Card	暗夜男爵卡片	english-on-hold
Item	Bauxite	Bauxite	铝土矿	english-on-hold
Item	Bee	Bee Card	蜜蜂卡片	english-on-hold
Item	Beehive	Beehive	蜂窝	english-on-hold
Item	Betta	Betta	斗鱼	english-on-hold
Item	Bird	Rooster Card	公鸡卡片	english-on-hold
Item	Black Locust	Black Locust	黑刺槐	english-on-hold
Item	Bladed Penknife	Bladed Penknife	刃口小刀	english-on-hold
Item	Blast Robot Blue	Guard Robot Card	警卫机器人卡片	english-on-hold
Item	Blast Robot Red	Blast Robot Card	爆破机器人卡片	english-on-hold
Item	Blind	Nightshade Card	夜影卡片	english-on-hold
Item	Bloom	Nightbloom Card	夜之花卡片	english-on-hold
Item	Blossom	Deathblossom Card	死亡之花卡片	english-on-hold
Item	Blowfish	Blowfish	河豚	english-on-hold
Item	Blue Tang	Blue Tang	蓝倒吊	english-on-hold
Item	Bluefin Tuna	Bluefin Tuna	蓝鳍金枪鱼	english-on-hold
Item	Bomb	Bomb Card	炸弹卡片	english-on-hold
Item	BossProtocol	Boss Protocol	首领协议	english-on-hold
Item	Bot Robot	Repair Robot Card	维修机器人卡片	english-on-hold
