key	category	source	built-in-simplified	runtime-target
archetype.Acolyte.description	Archetypes	A faithful practitioner of the holy arts who channels their light to protect allies and banish the undead.	虔诚的圣术修行者，能引导圣光保护盟友并驱逐不死生物。	虔诚的圣术修行者，能引导圣光保护盟友并驱逐不死生物。
archetype.Acolyte.name	Archetypes	Acolyte		侍祭
archetype.Artificer.name	Archetypes	Artificer		奇械师
archetype.Assassin.description	Archetypes	A relentless dual wielder who uses speed and poisons to take down enemies.	无情的双持战士，以速度和毒素击倒敌人。	无情的双持战士，以速度和毒素击倒敌人。
archetype.Assassin.name	Archetypes	Assassin		刺客
archetype.Berserker.description	Archetypes	A raging juggernaut who cleaves through enemies using heavy weaponry and thrives in no-holds-barred combat.	狂怒的重装猛士，挥舞重型武器劈开敌阵，在毫无保留的战斗中如鱼得水。	狂怒的重装猛士，挥舞重型武器劈开敌阵，在毫无保留的战斗中如鱼得水。
archetype.Berserker.name	Archetypes	Berserker		狂战士
archetype.Blacksmith.name	Archetypes	Blacksmith		铁匠
archetype.Cardweaver.name	Archetypes	Cardweaver		卡牌织法师
archetype.Chronomancer.description	Archetypes	A peerless mage who manipulates the fabric of time, providing allies with precise utility and control.	举世无双的法师，能够操纵时间的脉络，为盟友提供精准的辅助与控制。	举世无双的法师，能够操纵时间的脉络，为盟友提供精准的辅助与控制。
archetype.Chronomancer.name	Archetypes	Chronomancer		时空法师
archetype.Craftsman.name	Archetypes	Craftsman		工匠
archetype.DragonKnight.description	Archetypes	A draconic bruiser who channels the power of a dragon, focusing that energy through spears to fell foes with fire.	驾驭巨龙之力的近战猛士，将力量汇聚于长枪，以烈焰击倒敌人。	驾驭巨龙之力的近战猛士，将力量汇聚于长枪，以烈焰击倒敌人。
archetype.DragonKnight.name	Archetypes	Dragon Knight		龙骑士
archetype.Druid.description	Archetypes	A peaceful naturalist who provides healing succor for allies while repelling foes with earth magic.	平和的自然术士，以治愈之力援助盟友，同时用大地魔法击退敌人。	平和的自然术士，以治愈之力援助盟友，同时用大地魔法击退敌人。
archetype.Druid.name	Archetypes	Druid		德鲁伊
archetype.Gemsmith.name	Archetypes	Gemsmith		宝石匠
archetype.Gunslinger.description	Archetypes	A ranged specialist who uses a variety of firearms and their mobility to destroy foes both near and far.	精通远程作战的专家，凭借多种枪械与出色的机动性，无论远近都能消灭敌人。	精通远程作战的专家，凭借多种枪械与出色的机动性，无论远近都能消灭敌人。
archetype.Gunslinger.name	Archetypes	Gunslinger		枪手
